[rosmaster.main][INFO] 2020-07-16 13:49:02,644: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-16 13:49:02,644: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-16 13:49:02,645: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-16 13:49:02,645: Started XML-RPC server [http://hecs-x-xlarge-2-linux-20200707132053:11311/]
[rosmaster.master][INFO] 2020-07-16 13:49:02,645: Master initialized: port[11311], uri[http://hecs-x-xlarge-2-linux-20200707132053:11311/]
[xmlrpc][INFO] 2020-07-16 13:49:02,645: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-16 13:49:02,748: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:49:02,750: +PARAM [/roslaunch/uris/host_hecs_x_xlarge_2_linux_20200707132053__39919] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:49:02,794: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:49:02,794: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:49:02,798: +SERVICE [/rosout/get_loggers] /rosout http://hecs-x-xlarge-2-linux-20200707132053:45740/
[rosmaster.master][INFO] 2020-07-16 13:49:02,798: +SERVICE [/rosout/set_logger_level] /rosout http://hecs-x-xlarge-2-linux-20200707132053:45740/
[rosmaster.master][INFO] 2020-07-16 13:49:02,800: +PUB [/rosout_agg] /rosout http://hecs-x-xlarge-2-linux-20200707132053:45740/
[rosmaster.master][INFO] 2020-07-16 13:49:02,803: +SUB [/rosout] /rosout http://hecs-x-xlarge-2-linux-20200707132053:45740/
[rosmaster.master][INFO] 2020-07-16 13:49:25,420: +PARAM [/roslaunch/uris/host_hecs_x_xlarge_2_linux_20200707132053__34247] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:49:25,422: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:49:25,423: +PARAM [/rosdistro] by /roslaunch
