[rosmaster.main][INFO] 2020-07-16 13:50:27,955: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-16 13:50:27,955: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-16 13:50:27,956: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-16 13:50:27,956: Started XML-RPC server [http://hecs-x-xlarge-2-linux-20200707132053:11311/]
[rosmaster.master][INFO] 2020-07-16 13:50:27,957: Master initialized: port[11311], uri[http://hecs-x-xlarge-2-linux-20200707132053:11311/]
[xmlrpc][INFO] 2020-07-16 13:50:27,957: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-16 13:50:28,054: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:50:28,055: +PARAM [/roslaunch/uris/host_hecs_x_xlarge_2_linux_20200707132053__33886] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:50:28,098: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:50:28,098: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-16 13:50:28,102: +SERVICE [/rosout/get_loggers] /rosout http://hecs-x-xlarge-2-linux-20200707132053:35760/
[rosmaster.master][INFO] 2020-07-16 13:50:28,103: +SERVICE [/rosout/set_logger_level] /rosout http://hecs-x-xlarge-2-linux-20200707132053:35760/
[rosmaster.master][INFO] 2020-07-16 13:50:28,104: +PUB [/rosout_agg] /rosout http://hecs-x-xlarge-2-linux-20200707132053:35760/
[rosmaster.master][INFO] 2020-07-16 13:50:28,107: +SUB [/rosout] /rosout http://hecs-x-xlarge-2-linux-20200707132053:35760/
